codigo_dane,municipio,departamento,lat,lon,diag,cec_0-5cm,cec_5-15cm,cec_15-30cm,cec_0_30cm,clay_0-5cm,clay_5-15cm,clay_15-30cm,clay_0_30cm,phh2o_0-5cm,phh2o_5-15cm,phh2o_15-30cm,phh2o_0_30cm,sand_0-5cm,sand_5-15cm,sand_15-30cm,sand_0_30cm,soc_0-5cm,soc_5-15cm,soc_15-30cm,soc_0_30cm,offset_deg
41001,Neiva,Huila,2.9389,-75.2819,"ok | offset:(-0.05,-0.05)",19.3,18.2,17.7,18.133333333333333,26.9,26.6,31.6,29.15,5.8,5.8,5.7,5.75,43.7,44.3,40.8,42.45,33.9,27.4,17.8,23.683333333333334,"-0.05,-0.05"
05001,Medellin,Antioquia,6.2442,-75.5812,"ok | offset:(-0.05,-0.05)",29.0,26.0,24.6,25.8,27.1,28.8,32.0,30.116666666666667,5.0,5.0,5.0,5.0,40.4,39.0,37.4,38.43333333333333,111.3,86.4,82.2,88.45,"-0.05,-0.05"
52001,Pasto,Narino,1.2136,-77.2811,"ok | offset:(-0.05,-0.05)",49.2,40.0,38.9,40.983333333333334,27.6,27.4,28.5,27.98333333333333,5.5,5.5,5.5,5.5,40.3,41.2,41.1,41.0,118.8,96.4,75.9,89.88333333333334,"-0.05,-0.05"
17001,Manizales,Caldas,5.0703,-75.5138,"ok | offset:(-0.05,-0.05)",28.6,27.7,26.1,27.05,36.7,37.6,41.9,39.6,5.4,5.4,5.4,5.4,30.3,30.0,28.0,29.05,75.4,81.4,52.7,66.05,"-0.05,-0.05"
63001,Armenia,Quindio,4.534,-75.6811,"ok | offset:(-0.05,-0.05)",25.6,25.0,23.2,24.2,37.9,37.5,38.7,38.16666666666667,5.5,5.5,5.5,5.5,30.3,30.5,30.4,30.416666666666668,42.6,47.9,26.5,36.31666666666667,"-0.05,-0.05"
66001,Pereira,Risaralda,4.8133,-75.6961,"ok | offset:(-0.05,-0.05)",23.8,21.8,19.8,21.133333333333333,34.7,34.8,39.1,36.93333333333333,5.3,5.3,5.3,5.3,32.6,32.8,30.0,31.366666666666667,56.3,42.1,33.7,40.266666666666666,"-0.05,-0.05"
73001,Ibague,Tolima,4.4389,-75.2322,"ok | offset:(-0.05,-0.05)",23.8,23.7,23.5,23.616666666666667,33.6,34.7,40.4,37.36666666666667,5.4,5.4,5.4,5.4,33.3,32.7,29.8,31.35,82.9,74.5,40.2,58.75,"-0.05,-0.05"
76001,Cali,Valle,3.4516,-76.532,"ok | offset:(-0.05,-0.05)",27.7,29.9,28.5,28.833333333333332,33.1,33.2,35.5,34.33333333333333,5.5,5.4,5.4,5.416666666666666,35.7,35.9,34.0,34.91666666666667,60.6,56.5,35.3,46.58333333333333,"-0.05,-0.05"
19001,Popayan,Cauca,2.4448,-76.6147,"ok | offset:(-0.05,-0.05)",35.6,41.7,38.5,39.08333333333333,25.6,26.1,24.2,25.066666666666666,5.3,5.3,5.3,5.3,40.2,40.4,41.3,40.81666666666667,69.2,57.9,38.7,50.18333333333333,"-0.05,-0.05"
18001,Florencia,Caqueta,1.6144,-75.6062,"ok | offset:(-0.05,-0.05)",15.6,9.7,7.9,9.783333333333333,26.5,26.5,31.3,28.9,5.0,5.0,5.0,5.0,49.9,49.5,46.1,47.86666666666667,44.1,31.5,16.1,25.9,"-0.05,-0.05"
54001,Cucuta,N. Santander,7.8939,-72.5078,"ok | offset:(-0.05,-0.05)",20.5,20.7,19.8,20.216666666666665,33.1,33.4,35.1,34.2,5.7,5.6,5.6,5.616666666666666,32.2,32.1,31.4,31.76666666666667,45.7,29.6,14.2,24.583333333333336,"-0.05,-0.05"
68001,Bucaramanga,Santander,7.1193,-73.1227,"ok | offset:(0.05,0.05)",20.6,20.3,21.1,20.75,34.7,35.4,42.2,38.68333333333333,5.2,5.2,5.2,5.2,29.3,28.6,25.5,27.166666666666668,57.9,56.4,26.1,41.5,"0.05,0.05"
15001,Tunja,Boyaca,5.5446,-73.3573,"ok | offset:(-0.05,-0.05)",24.9,24.2,24.5,24.466666666666665,30.3,29.2,30.3,29.93333333333333,6.2,6.2,6.3,6.25,40.4,41.2,39.9,40.41666666666667,67.0,58.2,42.0,51.56666666666666,"-0.05,-0.05"
25001,Agua de Dios,Cundinamarca,4.3766,-74.6712,"ok | offset:(-0.05,-0.05)",20.0,20.3,19.0,19.6,41.6,41.5,42.0,41.766666666666666,5.4,5.4,5.4,5.4,25.5,25.4,25.5,25.466666666666665,49.4,26.3,22.9,28.45,"-0.05,-0.05"
23001,Monteria,Cordoba,8.7575,-75.8814,"ok | offset:(-0.05,-0.05)",18.0,17.8,17.7,17.783333333333335,31.9,32.3,39.2,35.68333333333333,5.7,5.6,5.6,5.616666666666666,33.2,32.6,29.5,31.15,70.5,36.4,41.1,44.43333333333333,"-0.05,-0.05"
44001,Riohacha,Guajira,11.5444,-72.9072,"ok | offset:(-0.05,-0.05)",19.1,18.5,18.2,18.45,31.4,31.0,31.4,31.26666666666667,6.5,6.6,6.7,6.633333333333333,33.1,33.5,33.2,33.28333333333333,26.6,17.5,12.3,16.416666666666664,"-0.05,-0.05"
47001,Santa Marta,Magdalena,11.2408,-74.199,"ok | offset:(0.05,0.05)",27.0,26.0,26.0,26.166666666666668,33.5,35.3,34.0,34.35,6.2,6.2,6.2,6.2,30.4,29.9,31.0,30.53333333333333,75.8,76.5,49.3,62.78333333333334,"0.05,0.05"
17873,Villamaria,Caldas,5.0438,-75.5067,ok | offset:exacto,24.6,23.3,21.1,22.416666666666664,33.4,33.9,35.9,34.81666666666667,5.4,5.4,5.4,5.4,33.9,33.9,33.5,33.7,74.5,62.8,41.4,54.05,"0.00,0.00"
63594,Salento,Quindio,4.6371,-75.5705,"ok | offset:(-0.05,-0.05)",25.9,26.6,24.6,25.483333333333334,28.5,29.9,31.5,30.46666666666667,5.0,5.0,5.1,5.05,36.2,35.1,34.2,34.83333333333333,73.1,73.0,39.0,56.016666666666666,"-0.05,-0.05"
17653,Salamina,Caldas,5.4072,-75.4868,"ok | offset:(-0.05,-0.05)",26.7,27.1,24.2,25.583333333333336,33.5,33.8,33.2,33.45,5.1,5.1,5.1,5.1,36.6,36.9,37.1,36.95,85.6,75.6,68.5,73.71666666666667,"-0.05,-0.05"
17442,Marsella,Risaralda,4.9352,-75.7398,"ok | offset:(-0.05,-0.05)",24.6,22.7,20.4,21.866666666666667,30.4,31.6,34.7,32.95,5.4,5.3,5.3,5.316666666666666,33.4,32.8,31.1,32.05,47.2,51.0,32.0,40.86666666666667,"-0.05,-0.05"
