fecha,ico_composite,colombian_milds,other_milds,brazilian_naturals,robustas,new_york_futures,london_futures
2018-01,115.6,143.77,138.81,123.67,88.65,127.65,78.9
2018-02,114.19,141.5,136.28,120.83,89.24,123.82,80.38
2018-03,112.99,139.45,135.03,119.8,88.18,121.66,79.86
2018-04,112.56,139.29,134.34,118.76,88.31,120.17,79.36
2018-05,113.34,140.26,135.61,119.57,88.74,122.5,79.85
2018-06,110.44,138.55,134.03,115.1,86.07,120.19,77.4
2018-07,107.2,133.92,130.6,110.54,84.42,114.06,75.56
2018-08,102.41,129.99,125.21,104.46,80.74,108.12,71.94
2018-09,98.17,125.74,121.18,99.87,76.7,102.83,68.03
2018-10,111.21,140.83,137.34,115.59,85.32,119.73,77.16
2018-11,109.59,139.27,137.11,113.27,83.52,117.06,75.23
2018-12,100.61,127.86,127.1,102.1,77.57,105.79,69.59
2019-01,101.56,129.28,128.46,102.94,78.24,107.93,70.32
2019-02,100.67,127.93,128.45,100.06,78.65,104.12,70.52
2019-03,97.5,125.23,123.89,95.81,76.96,98.84,68.61
2019-04,94.42,124.42,121.13,92.47,73.28,95.31,65.06
2019-05,93.33,124.4,120.55,91.95,71.12,94.86,62.45
2019-06,99.97,133.49,129.73,100.69,74.02,104.44,65.41
2019-07,103.01,137.63,135.47,105.43,73.93,109.01,64.83
2019-08,96.07,129.2,126.23,95.85,70.78,99.87,60.9
2019-09,97.74,131.9,128.89,98.73,70.64,102.81,60.31
2019-10,97.35,132.09,126.99,98.1,68.63,102.41,58.34
2019-11,107.23,146.12,140.98,109.94,73.28,113.31,63.0
2019-12,117.37,161.5,157.11,126.36,73.22,131.44,63.87
2020-01,106.89,147.52,142.19,110.73,70.55,117.05,61.03
2020-02,102.0,146.43,135.5,102.62,68.07,106.69,59.02
2020-03,109.05,158.99,148.33,112.87,67.46,116.09,57.39
2020-04,108.91,161.92,154.52,111.22,63.97,115.55,54.4
2020-05,104.45,154.96,149.84,101.69,64.53,107.54,54.67
2020-06,99.05,147.16,141.52,92.56,64.62,99.5,54.77
2020-07,103.66,153.38,146.78,97.96,67.69,106.2,57.92
2020-08,114.78,167.22,163.25,111.79,72.68,120.98,62.89
2020-09,116.25,168.36,166.56,113.81,72.77,122.08,63.35
2020-10,105.85,154.28,152.06,100.37,68.36,110.7,59.14
2020-11,109.7,161.21,150.73,106.41,72.38,115.48,62.82
2020-12,114.74,170.44,157.81,114.96,72.04,124.46,62.41
2021-01,115.73,173.42,160.69,116.69,70.71,127.59,60.54
2021-02,119.35,176.96,166.43,120.06,73.37,129.69,63.07
2021-03,120.36,177.49,167.05,122.16,73.86,131.72,63.9
2021-04,122.03,181.7,168.65,124.18,74.47,134.77,63.76
2021-05,134.78,199.02,186.46,140.85,79.68,152.42,69.15
2021-06,141.03,206.53,192.45,148.12,84.85,156.43,73.16
2021-07,152.24,218.66,204.29,160.62,94.37,168.55,81.17
2021-08,160.14,225.4,216.24,174.89,95.18,181.93,84.72
2021-09,170.02,240.38,225.54,183.72,104.6,191.3,94.91
2021-10,181.57,258.87,241.06,199.98,105.24,206.05,96.36
2021-11,195.17,279.56,258.95,218.9,109.4,223.94,100.3
2021-12,203.06,290.57,267.71,230.26,112.76,234.14,104.14
2022-01,204.29,294.93,271.08,185.22,233.8,37.28,109.71
2022-02,210.89,306.36,279.83,245.05,109.44,245.38,100.58
2022-03,194.78,285.81,258.49,222.03,103.82,222.44,95.21
2022-04,198.37,292.64,265.4,226.11,103.96,225.37,95.07
2022-05,193.71,286.44,260.42,217.84,103.1,218.61,94.31
2022-06,202.46,301.57,273.69,230.4,103.81,229.38,94.48
2022-07,190.82,286.07,255.91,214.8,100.44,210.84,89.6
2022-08,200.11,295.66,268.43,221.91,109.65,218.53,98.75
2022-09,199.63,294.09,267.49,219.59,111.36,218.24,100.49
2022-10,178.54,261.95,240.08,192.27,103.01,191.72,92.16
2022-11,156.66,223.22,213.85,166.54,92.59,164.8,82.67
2022-12,157.19,224.12,210.24,169.0,93.76,166.21,83.95
2023-01,156.95,218.91,206.76,170.03,95.98,159.8,85.82
2023-02,174.77,238.39,229.73,195.18,103.93,180.93,94.26
2023-03,170.03,225.23,222.36,187.02,106.49,176.17,96.6
2023-04,178.57,234.85,229.56,195.26,115.7,187.3,105.43
2023-05,175.48,226.93,220.12,186.8,122.55,183.13,112.56
2023-06,171.25,211.85,207.39,176.48,132.13,174.54,119.23
2023-07,158.88,190.58,193.49,159.5,127.58,159.57,113.62
2023-08,154.53,187.55,186.73,154.66,124.62,156.56,111.34
2023-09,153.13,184.98,183.52,154.19,123.89,153.55,109.14
2023-10,151.94,185.97,183.95,155.52,118.83,155.91,105.4
2023-11,161.53,195.85,197.18,169.25,122.63,170.25,110.45
2023-12,175.73,210.68,210.76,185.23,135.47,186.67,123.91
2024-01,176.41,205.62,203.3,179.32,148.47,183.06,135.84
2024-02,182.04,209.53,208.78,186.74,153.23,185.37,142.43
2024-03,186.39,210.27,208.88,185.77,165.84,184.59,148.53
2024-04,216.89,241.8,239.73,218.77,193.65,217.97,176.04
2024-05,208.38,233.5,232.11,209.78,184.97,208.86,165.11
2024-06,226.83,250.39,248.39,229.25,204.3,226.42,182.82
2024-07,236.54,257.82,257.1,239.7,214.72,234.62,193.93
2024-08,238.92,263.76,261.44,242.19,214.68,239.61,198.24
2024-09,258.9,279.27,278.52,257.24,242.08,253.89,225.68
2024-10,250.56,277.1,276.82,255.85,221.93,250.62,207.11
2024-11,270.72,306.21,304.98,285.59,226.11,277.04,214.43
2024-12,299.61,341.0,343.34,326.97,236.73,317.0,226.28
